,Timestamp,Gender,Age,"On a weekly basis, how often do you watch video game live streams?",What live streaming platforms do you usually watch video game live streams on? Please check all that apply.,Who would you say is your favorite video game live streamer? You may list more than one.,"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Was aware of me.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was there.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was aware of them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I paid attention to them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew that I reacted to them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Reacted to what I said or did.]","[My favorite streamer makes me feel comfortable, as if I am with a friend.]","[I see my favorite streamer as a natural, down-to-earth person.]",[I look forward to watching my favorite streamer the next time they stream.],"[If my favorite live streamer appeared on another streamer's live stream, I would also watch that live stream.]",[My favorite streamer seems to understand the kind of things I want to know.],"[If I saw a story or article about my favorite streamer online, I would read it.]",[I miss seeing my favorite streamer when he or she is ill or on a vacation.],[I would like to meet my favorite streamer in person.],[I feel sorry for my favorite streamer when he or she makes a mistake.],[I'd like to do the things my favorite streamer does while streaming.],[My favorite streamer is the sort of person I want to be like myself.],[I wish I could be more like my favorite streamer.],"[Whenever I have time, I log on to my live stream platform account.]","[Frequently, I regret I consume too much time watching live streams.]","[If I could not watch live streams, I would be depressed.]",[I have difficulties in focusing on my study or work due to watching live streams.],[I lose sleep over spending more time watching live streams.],[Watching live streams interferes with doing social activities.],[I feel anxious if I cannot watch live streams.],[I have attempted to spend less time watching live streams but have not succeeded.],[I get important needs of mine met because I am a part of my favorite streamer's fanbase.],[My favorite streamer's fanbase and I value the same things.],[Being a member of my favorite streamer's fanbase makes me feel good.],"[When I have a problem, I can talk about it with members of my favorite streamer's fanbase.]","[People in the fanbase have similar needs, priorities, and goals.]",[I can trust people in this community.],[I put a lot of time and effort into being part of my favorite streamer's fanbase.],[Being a member of my favorite streamer's fanbase is a part of my identity.],[Fitting into my favorite streamer's fanbase is important to me.],[It is very important for me to be a part of my favorite streamer's fanbase.],[I expect to be a part of my favorite streamer's fanbase for a long time.],[I feel in tune with my favorite streamer's fanbase while watching my favorite streamer.],[I do not feel alone while watching my favorite streamer.],[I feel part of a group of friends while watching my favorite streamer.],[My interests and ideas are not shared by those in my favorite streamer's fanbase.],[There are people in my favorite streamer's fanbase I feel close to.],[I feel left out while watching my favorite streamer.],[I feel isolated from others in my favorite streamer's fanbase.],[I am unhappy being so withdrawn from others in my favorite streamer's fanbase.],[Attractive],[Classy],[Handsome/Beautiful],[Sexy],[Dependable],[Honest],[Reliable],[Sincere],[Trustworthy],[Expert],[Experienced],[Knowledgeable],[Skilled],Platforms,Streamers,[I feel in tune with my favorite streamer's fanbase while watching my favorite streamer.]_reversed,[I do not feel alone while watching my favorite streamer.]_reversed,[I feel part of a group of friends while watching my favorite streamer.]_reversed,[There are people in my favorite streamer's fanbase I feel close to.]_reversed
10,3/7/2024 3:14,Male,18 to 24,More than three times a week,Bola.TV,VJ TWINX,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,3,1,1,2,2,3,5,4,5,5,4,3,5,4,4,4,5,5,5,5,2,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],['VJ TWINX'],1,1,1,1
11,3/7/2024 3:57,Male,25 to 29,More than three times a week,"Twitch, Facebook Gaming, TikTok Live, Bola.TV","Locco, Van Holiday, RCMGODD",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,1,2,"['Twitch', 'Facebook Gaming', 'TikTok Live', 'Bola.TV']","['Locco', 'Van Holiday', 'RCMGODD']",3,3,3,3
12,3/7/2024 5:53,Male,25 to 29,Three times a week,"YouTube Gaming, TikTok Live, Bola.TV","Cullen01, Rizpol, Dendi",4,4,5,5,5,4,4,5,4,4,4,4,3,4,3,4,4,3,4,2,3,3,4,3,4,5,4,4,4,3,3,4,3,3,3,3,3,4,5,5,3,3,2,1,1,5,4,5,5,4,5,5,5,5,5,5,5,5,"['YouTube Gaming', 'TikTok Live', 'Bola.TV']","['Cullen01', 'Rizpol', 'Dendi']",2,1,1,3
13,3/7/2024 6:47,Female,25 to 29,More than three times a week,"Facebook Gaming, TikTok Live, Bola.TV",ChooxTv,2,2,3,2,2,1,2,5,4,4,1,5,2,5,5,2,5,5,5,2,1,1,1,2,1,2,2,2,2,3,3,3,3,2,4,4,2,2,2,2,2,2,2,2,2,5,1,3,2,5,5,5,5,5,5,5,5,5,"['Facebook Gaming', 'TikTok Live', 'Bola.TV']",['ChooxTv'],4,4,4,4
14,3/7/2024 8:16,Female,30 to 39,More than three times a week,"Facebook Gaming, TikTok Live, Bola.TV","Ohmyv33nus, Wise Gaming",4,4,5,4,3,4,4,5,5,5,4,5,4,5,3,4,3,3,5,5,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,2,3,2,3,1,3,3,3,5,5,5,5,4,4,4,4,"['Facebook Gaming', 'TikTok Live', 'Bola.TV']","['Ohmyv33nus', 'Wise Gaming']",2,2,2,3
15,3/7/2024 8:30,Male,25 to 29,Once a week,"Twitch, YouTube Gaming, Facebook Gaming",Mobile Legends Bang Bang,1,1,1,1,1,1,1,2,4,4,4,4,5,5,4,4,5,3,2,3,2,2,3,2,3,3,5,4,4,5,5,4,5,4,4,5,5,3,2,3,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Twitch', 'YouTube Gaming', 'Facebook Gaming']",['Mobile Legends Bang Bang'],3,4,3,4
16,3/7/2024 8:52,Female,18 to 24,Once a week,"YouTube Gaming, Facebook Gaming, TikTok Live",Alodia Gosiengfiao,5,5,5,5,4,5,5,4,4,5,3,3,1,1,4,5,4,4,2,5,1,1,1,1,1,1,2,4,2,1,3,3,3,3,2,2,1,4,5,5,3,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,"['YouTube Gaming', 'Facebook Gaming', 'TikTok Live']",['Alodia Gosiengfiao'],2,1,1,1
17,3/7/2024 10:02,Male,30 to 39,Three times a week,"Twitch, YouTube Gaming, Facebook Gaming, TikTok Live, Bola.TV","Doc Z Gaming, HOLY FATHER",5,5,4,3,4,4,5,5,5,5,4,4,4,5,5,5,4,5,4,3,1,2,3,3,2,3,3,4,5,4,3,3,3,3,3,4,3,2,3,3,3,4,1,3,3,4,4,4,3,5,5,5,5,5,5,5,5,5,"['Twitch', 'YouTube Gaming', 'Facebook Gaming', 'TikTok Live', 'Bola.TV']","['Doc Z Gaming', 'HOLY FATHER']",4,3,3,2
18,3/7/2024 11:37,Female,25 to 29,More than three times a week,Bola.TV,Grand Theft Auto V,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],['Grand Theft Auto V'],3,3,2,2
19,3/7/2024 11:43,Female,25 to 29,More than three times a week,"Facebook Gaming, TikTok Live, Bola.TV",Renniyyya Gaming,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Facebook Gaming', 'TikTok Live', 'Bola.TV']",['Renniyyya Gaming'],1,1,1,1
20,3/7/2024 11:45,Female,18 to 24,More than three times a week,Bola.TV,"Renniyyya Gaming, Grand Theft Auto V",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],"['Renniyyya Gaming', 'Grand Theft Auto V']",1,1,1,1
21,3/7/2024 11:47,Female,18 to 24,More than three times a week,Bola.TV,Renniyyya Gaming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,['Bola.TV'],['Renniyyya Gaming'],5,5,4,5
22,3/7/2024 11:49,Female,18 to 24,More than three times a week,Bola.TV,Keep,5,4,4,4,4,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,4,5,5,5,5,4,5,5,4,4,2,2,4,2,5,5,5,5,5,5,5,5,5,4,5,4,5,['Bola.TV'],['Keep'],1,1,2,4
23,3/7/2024 12:11,Female,18 to 24,More than three times a week,"Twitch, Facebook Gaming, TikTok Live, Bola.TV",Renniyyya Gaming,4,3,4,2,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,5,3,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Twitch', 'Facebook Gaming', 'TikTok Live', 'Bola.TV']",['Renniyyya Gaming'],1,2,1,1
24,3/7/2024 14:15,Male,30 to 39,More than three times a week,"Facebook Gaming, TikTok Live, Bola.TV",KPOP,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Facebook Gaming', 'TikTok Live', 'Bola.TV']",['KPOP'],1,5,1,1
25,3/7/2024 14:53,Female,18 to 24,More than three times a week,"Twitch, Facebook Gaming, TikTok Live, Bola.TV",Renniyyya Gaming,4,4,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,5,4,2,1,3,5,5,2,3,4,5,2,5,4,4,5,5,5,5,3,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Twitch', 'Facebook Gaming', 'TikTok Live', 'Bola.TV']",['Renniyyya Gaming'],1,1,1,3
26,3/7/2024 15:04,Male,30 to 39,More than three times a week,"YouTube Gaming, Facebook Gaming",Anyone,2,2,3,4,4,4,4,4,3,5,4,4,3,3,3,3,3,3,4,3,1,2,2,2,2,2,3,3,2,3,3,2,3,3,2,3,2,3,3,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,4,4,4,5,"['YouTube Gaming', 'Facebook Gaming']",['Anyone'],3,3,2,3
27,3/7/2024 15:44,Female,25 to 29,More than three times a week,"Facebook Gaming, Bola.TV",Van Holiday,2,2,2,1,4,4,3,3,3,4,3,3,3,4,3,4,3,4,4,3,1,1,1,1,1,1,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,"['Facebook Gaming', 'Bola.TV']",['Van Holiday'],2,2,3,3
28,3/7/2024 16:42,Female,30 to 39,Three times a week,Bola.TV,schrodingerLee,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],['schrodingerLee'],3,3,3,3
29,3/7/2024 17:07,Male,25 to 29,More than three times a week,"Twitch, YouTube Gaming, TikTok Live, Bola.TV",AvoidingThePuddle,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,3,4,5,1,1,1,1,1,1,1,4,4,5,4,4,4,4,3,3,3,3,3,3,4,3,4,1,1,1,2,2,2,1,2,5,5,4,4,5,5,5,3,"['Twitch', 'YouTube Gaming', 'TikTok Live', 'Bola.TV']",['AvoidingThePuddle'],3,3,2,2
30,3/7/2024 17:23,Male,40 to 49,Once a week,YouTube Gaming,Alodia Gosiengfiao,3,4,3,4,4,5,2,3,3,3,4,4,3,4,3,4,2,2,3,3,1,5,5,3,2,3,3,3,3,1,3,3,2,1,2,2,3,3,3,3,3,3,3,3,3,5,3,5,5,3,3,3,4,3,5,5,5,5,['YouTube Gaming'],['Alodia Gosiengfiao'],3,3,3,3
31,3/7/2024 18:41,Male,18 to 24,More than three times a week,"Twitch, YouTube Gaming","GLOCO, PeenoisePlays, RogerRakerTV, tapangking",5,5,5,5,5,4,5,5,4,5,4,4,4,5,3,2,1,1,5,4,1,1,2,2,1,1,3,4,4,1,2,3,3,3,3,3,3,4,3,3,2,4,3,1,1,1,4,4,1,5,4,4,4,5,4,4,5,5,"['Twitch', 'YouTube Gaming']","['GLOCO', 'PeenoisePlays', 'RogerRakerTV', 'tapangking']",2,3,3,2
32,3/7/2024 19:36,Female,18 to 24,Once a week,"Twitch, YouTube Gaming, Facebook Gaming","GLOCO, PeenoisePlays, BaristaRobss, JimmyHere, Razzie Binx",1,1,2,4,1,1,3,5,3,3,4,4,1,3,4,4,3,2,4,2,1,1,1,1,1,1,3,4,3,2,4,3,1,1,1,1,1,4,4,4,3,3,3,4,1,3,3,3,3,4,4,4,4,3,3,4,4,4,"['Twitch', 'YouTube Gaming', 'Facebook Gaming']","['GLOCO', 'PeenoisePlays', 'BaristaRobss', 'JimmyHere', 'Razzie Binx']",2,2,2,3
33,3/7/2024 21:24,Male,25 to 29,Once a week,"Twitch, Facebook Gaming",Een,5,4,4,4,4,4,4,4,3,2,3,4,3,5,5,5,5,5,4,2,4,1,1,2,1,3,2,3,2,1,4,3,2,2,1,3,3,4,4,5,3,2,2,2,2,5,5,5,5,5,5,4,4,3,5,5,5,5,"['Twitch', 'Facebook Gaming']",['Een'],2,2,1,4
34,3/7/2024 23:52,Male,30 to 39,Once a week,Facebook Gaming,"Yawi Esports, Ohmyv33nus, Wise Gaming",5,1,1,5,5,5,5,1,1,5,1,5,1,5,1,1,1,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,5,5,5,1,5,5,1,1,1,5,5,5,5,['Facebook Gaming'],"['Yawi Esports', 'Ohmyv33nus', 'Wise Gaming']",5,1,1,5
35,3/8/2024 11:20,Male,18 to 24,Two times a week,Twitch,Broxah,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,4,2,2,4,3,2,3,3,4,2,3,3,4,4,2,2,3,2,2,2,2,2,4,4,3,2,2,2,2,2,4,4,4,3,4,5,5,4,5,5,5,5,5,['Twitch'],['Broxah'],2,2,3,4
36,3/8/2024 14:57,Male,25 to 29,Three times a week,"YouTube Gaming, Facebook Gaming",Chibiby,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,2,3,3,2,2,1,2,2,2,3,2,3,2,2,3,2,1,1,3,3,2,2,4,2,2,3,1,1,3,3,3,3,2,4,4,4,4,4,4,4,4,4,"['YouTube Gaming', 'Facebook Gaming']",['Chibiby'],4,2,4,3
37,3/8/2024 17:27,Female,25 to 29,More than three times a week,Bola.TV,HOLY FATHER,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],['HOLY FATHER'],1,1,1,1
38,3/9/2024 14:22,Female,18 to 24,More than three times a week,"Facebook Gaming, Bola.TV",VMG,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,1,1,1,3,3,4,5,3,4,3,3,3,3,3,5,4,5,5,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Facebook Gaming', 'Bola.TV']",['VMG'],2,1,1,3
39,3/9/2024 14:28,Male,30 to 39,More than three times a week,"Facebook Gaming, Bola.TV","schrodingerLee, Nami Onuma, Kopi, OverXyze, Bombay Tv",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,4,5,5,4,"['Facebook Gaming', 'Bola.TV']","['schrodingerLee', 'Nami Onuma', 'Kopi', 'OverXyze', 'Bombay Tv']",2,2,2,2
40,3/9/2024 14:29,Male,25 to 29,More than three times a week,Bola.TV,"OverXyze, Bombay Tv, Nami Onuma, VJ TWINX, Melrosee",5,5,5,5,5,5,5,4,4,3,3,3,4,5,3,4,3,3,5,1,3,1,1,4,1,3,3,3,3,4,5,3,4,4,5,4,4,4,4,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,['Bola.TV'],"['OverXyze', 'Bombay Tv', 'Nami Onuma', 'VJ TWINX', 'Melrosee']",2,2,1,1
41,3/9/2024 14:30,Male,30 to 39,Three times a week,"Twitch, YouTube Gaming, Facebook Gaming, TikTok Live, Bola.TV","Kikuri, Bombay Tv, Angel Gaming",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,4,5,3,1,5,5,5,3,3,4,3,1,3,1,3,5,5,5,3,4,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,"['Twitch', 'YouTube Gaming', 'Facebook Gaming', 'TikTok Live', 'Bola.TV']","['Kikuri', 'Bombay Tv', 'Angel Gaming']",1,1,1,2
42,3/9/2024 21:47,Male,18 to 24,Once a week,Bola.TV,"Aljownz Gaming, Bombay Tv ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,5,['Bola.TV'],"['Aljownz Gaming', 'Bombay Tv ']",1,1,1,1
43,3/10/2024 3:30,Male,25 to 29,More than three times a week,"Facebook Gaming, Bola.TV",Akosi Dogie,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,"['Facebook Gaming', 'Bola.TV']",['Akosi Dogie'],1,1,1,1
44,3/11/2024 13:47,Male,18 to 24,Once a week,"Facebook Gaming, TikTok Live",Kayla Heredia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,3,3,4,"['Facebook Gaming', 'TikTok Live']",['Kayla Heredia'],3,3,3,3
45,3/11/2024 13:57,Male,18 to 24,Three times a week,"Twitch, YouTube Gaming, Facebook Gaming, TikTok Live","shroud, Pech Gaming, TenZ",4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,3,2,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,5,5,5,4,4,5,5,4,4,4,5,4,5,"['Twitch', 'YouTube Gaming', 'Facebook Gaming', 'TikTok Live']","['shroud', 'Pech Gaming', 'TenZ']",2,2,2,3
46,3/11/2024 14:02,Female,18 to 24,Once a week,TikTok Live,Mobile Legends Bang Bang,4,3,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,['TikTok Live'],['Mobile Legends Bang Bang'],2,2,2,2
47,3/11/2024 17:25,Female,18 to 24,Two times a week,"Twitch, YouTube Gaming","Leo Kuga, Alban Knox, Doppio Dropscythe, joshseki",1,1,1,1,1,1,4,5,4,4,3,3,3,2,3,3,4,3,2,2,2,1,2,1,1,1,1,2,3,2,2,2,1,1,1,1,4,2,3,4,2,1,1,1,1,3,4,3,3,4,5,5,5,5,3,4,5,4,"['Twitch', 'YouTube Gaming']","['Leo Kuga', 'Alban Knox', 'Doppio Dropscythe', 'joshseki']",4,3,2,5
